occurrenceID,scientificName,recordedBy,catalogNumber,recordNumber,occurrenceRemarks,eventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,locationID,countryCode,stateProvince,county,locality
6b071433-db6d-4fba-99bd-ca55033f0561,Carex stricta Lam.,Rachel Hackett & Hillary Karbowski,BVF11-4,RHHK430,Population - Some remnant clumps on tussocks (10-30cm tall). No fruits.,BVF11,8/31/2012,2012,8,31,42.74635,-83.45167,BVF,US,Michigan,Oakland,Bridge Valley Fen
dc27eb39-65f5-42c7-8ec1-956d0c3d0e32,Carex flava L.,Rachel Hackett & Hillary Karbowski,BVF11-5,RHHK419,"Population - Between tussocks, some fruits closer to water.",BVF11,8/31/2012,2012,8,31,42.74635,-83.45167,BVF,US,Michigan,Oakland,Bridge Valley Fen
a7e1dcfb-eb22-4cdb-bae6-16f01f9487e7,Schoenoplectus acutus (Muhl. ex Bigelow) Á.Löve & D.Löve,Rachel Hackett & Hillary Karbowski,BVF11-6,HK17,Population - A few still with fruits.,BVF11,8/31/2012,2012,8,31,42.74635,-83.45167,BVF,US,Michigan,Oakland,Bridge Valley Fen
95ddaba0-fb9b-4a3f-b994-50c4908d9411,Thelypteris palustris Schott,Rachel Hackett & Hillary Karbowski,BVF11-7,RHHK661,"Population - Clumped, near trees.",BVF11,8/31/2012,2012,8,31,42.74635,-83.45167,BVF,US,Michigan,Oakland,Bridge Valley Fen
03bf7da0-cd88-4445-b726-5fcd3ce1ff62,Dasiphora fruticosa (L.) Rydb.,Rachel Hackett & Hillary Karbowski,BVF11-8,HK16,"Population - Common, flowering.",BVF11,8/31/2012,2012,8,31,42.74635,-83.45167,BVF,US,Michigan,Oakland,Bridge Valley Fen
8c1178ab-f2ed-4774-967b-c14333657940,Pycnanthemum virginianum (L.) T.Durand & B.D.Jacks. ex B.L.Rob. & Fernald,Rachel Hackett & Hillary Karbowski,BVF11-9,RHHK67,"Population - Flowers, mostly spent.",BVF11,8/31/2012,2012,8,31,42.74635,-83.45167,BVF,US,Michigan,Oakland,Bridge Valley Fen
410049e2-01e7-4582-8c61-72680c9f7124,Typha angustifolia L.,Rachel Hackett & Hillary Karbowski,BVF1-2,RHHK9,"Population - Clumped, very common in area, 7-12 individuals per 1m2 for 40m2.",BVF1,6/26/2012,2012,6,26,42.74693,-83.45055,BVF,US,Michigan,Oakland,Bridge Valley Fen
f5b58d6c-14ec-48b1-a447-a81dcf7b20cd,Typha angustifolia L.,Rachel Hackett & Hillary Karbowski,BVF12-1,RHHK9,Population - Short (< 2m tall). Few fruiting.,BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
ae1697a1-515b-4ec9-9b81-6a016e18f537,Lobelia kalmii L.,Rachel Hackett & Hillary Karbowski,BVF12-10,RHHK584,"Population - Flowering, some fruiting.",BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
6caf7cc5-9d26-41de-8706-5f830e6dad75,Cirsium muticum Michx.,Rachel Hackett & Hillary Karbowski,BVF12-12,RHHK294,Population - No flowers.,BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
48f6ab11-bd64-4840-897f-5f22b7700788,Solidago patula Muhl. ex Willd.,Rachel Hackett & Hillary Karbowski,BVF12-13,RHHK644,"Population - Basal only in area, not flowering.",BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
73f59ba8-4e6e-44ac-8a4c-50f91f5f5ef4,Campanula aparinoides Pursh,Rachel Hackett & Hillary Karbowski,BVF12-14,RHHK460,"Population - Done blooming, fruiting.",BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
915635f2-2507-4302-9763-c35d1c03e0e1,Schoenoplectus acutus (Muhl. ex Bigelow) Á.Löve & D.Löve,Rachel Hackett & Hillary Karbowski,BVF12-2,HK17,Population - Common. Most spent fruits.,BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
b88f23e0-41d3-436d-a679-a0d36f90ec44,Carex sterilis Willd.,Rachel Hackett & Hillary Karbowski,BVF12-3,RHHK133,"Population - Dominant, few with fruits.",BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
8133b450-7f99-46c6-8ec4-cac4479eda21,Carex flava L.,Rachel Hackett & Hillary Karbowski,BVF12-4,RHHK419,Population - Few fruits.,BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
f5e8760d-2b71-4b3d-812c-aad6a813cc00,Dasiphora fruticosa (L.) Rydb.,Rachel Hackett & Hillary Karbowski,BVF12-5,HK16,"Population - Abundant, flowering.",BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
f4fd2305-c5f8-4f67-8d90-a5134ef35215,Salix candida Flüggé ex Willd.,Rachel Hackett & Hillary Karbowski,BVF12-8,RHHK667,Population - Small (< 50cm). No catkins.,BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
1f4c9a2a-a6d2-4e57-9f3d-bf9dc88f0874,Eutrochium maculatum (L.) E.E.Lamont,Rachel Hackett & Hillary Karbowski,BVF12-9,RHHK47,Population - Most under 40cm tall. Many blooming.,BVF12,8/31/2012,2012,8,31,42.74696,-83.45037,BVF,US,Michigan,Oakland,Bridge Valley Fen
45c65042-36d0-4a0e-9f33-30e6fd5f75d3,Dasiphora fruticosa (L.) Rydb.,Rachel Hackett & Hillary Karbowski,BVF1-3,HK16,"Population - Clumped. Very common in area, 2-5 individuals per 1m2 for 50m2. Seen on moist soil near Typha angustifolia, Carex, and Phragmites.",BVF1,6/26/2012,2012,6,26,42.74693,-83.45055,BVF,US,Michigan,Oakland,Bridge Valley Fen
1eb1c179-398c-4aa0-b381-f2992f847fd6,Carex stricta Lam.,Rachel Hackett & Hillary Karbowski,BVF13-1,RHHK430,"Population - Common, tussocks up to 40cm. No fruits.",BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
3229c8fc-0ad5-469e-87fa-9177366a2874,Carex sterilis Willd.,Rachel Hackett & Hillary Karbowski,BVF13-2,RHHK133,"Population - Abundant, both male and female clumps. Fruits present.",BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
72526dff-aa97-497e-979f-989968f758b4,Dasiphora fruticosa (L.) Rydb.,Rachel Hackett & Hillary Karbowski,BVF13-3,HK16,Population - No flowers.,BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
2da9436b-223f-4f17-8810-c4aef934b13a,Frangula alnus Mill.,Rachel Hackett & Hillary Karbowski,BVF13-4,RHHK153,"Population - Most saplings, none over 1m, no fruits.",BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
32ed2b1a-d457-4b1f-bd05-569559c7433e,Lycopus americanus Muhl. ex W.P.C.Barton,Rachel Hackett & Hillary Karbowski,BVF13-5,RHHK514,"Population - Some flowering, < 50cm tall.",BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
33f143b7-2625-4675-8e49-2057c8c4f1e5,Eutrochium maculatum (L.) E.E.Lamont,Rachel Hackett & Hillary Karbowski,BVF13-6,RHHK47,Population - None blooming in wooded area.,BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
83872aff-c7c5-4a0d-ad1d-6f29767aa71c,Juniperus virginiana L.,Rachel Hackett & Hillary Karbowski,BVF13-7,RHHK594,"Population - Low growing, possibly browsed. Some with blue berries.",BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
3186aa34-8675-4b42-adca-f221281acad0,Thuja occidentalis L.,Rachel Hackett & Hillary Karbowski,BVF13-8,RHHK423,"Population - Browsed, range 1-10m tall. Dominant.",BVF13,8/30/2012,2012,8,30,42.74601,-83.45042,BVF,US,Michigan,Oakland,Bridge Valley Fen
3ab7bdbb-46db-48b6-804f-757edd30d5a7,Carex sterilis Willd.,Rachel Hackett & Hillary Karbowski,BVF1-4,RHHK157,"Population - Dominant Carex of area, mostly vegetative now, but I found some male clumps with a few peragynia on them. Perigynia were dark and ripe and fell off easily.",BVF1,6/26/2012,2012,6,26,42.74693,-83.45055,BVF,US,Michigan,Oakland,Bridge Valley Fen
b634f0a7-743d-4fbd-b36e-7977eaa3b0b5,Typha angustifolia L.,Rachel Hackett & Hillary Karbowski,BVF14-1,RHHK9,"Population - Abundant, but not dense in this exact location, fruiting.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
1a5dab2b-7292-4a3d-8b07-dc91910ab7bc,Symphyotrichum boreale (Torr. & A.Gray) Á.Löve & D.Löve,Rachel Hackett & Hillary Karbowski,BVF14-10,RHHK622,Population - Not branching or budding.,BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
9f389e27-8dbe-4e40-ae2a-06162b1e8f19,Muhlenbergia glomerata (Willd.) Trin.,Rachel Hackett & Hillary Karbowski,BVF14-11,RHHK735,Population - Not flowering.,BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
6cecec5a-d7b4-4b65-b95a-b171dfa1a567,Dasiphora fruticosa (L.) Rydb.,Rachel Hackett & Hillary Karbowski,BVF14-12,HK16,"Population - Common, flowering.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
3bd0161e-58ba-451d-9522-84985926f23a,Mentha canadensis L.,Rachel Hackett & Hillary Karbowski,BVF14-13,RHHK499,"Population - Blooming, some purple.",BVF14,8/31/2012,2012,8,31,42.74671,-83.44896,BVF,US,Michigan,Oakland,Bridge Valley Fen
